Land;Von;Richtung;Nach;Text;sichtbar;vorher
Vereinigtes Königreich;The Engineers Reuse Collective (TERC);←;Elliott Wood;Gründung als Mitgründerin.;ja;Gründete TERC mit.
Vereinigtes Königreich;CBRE;→;55 Great Suffolk Street;Nachhaltigkeitsberatung.;;Beriet 55 Great Suffolk Street zur Nachhaltigkeit.
Vereinigtes Königreich;Cantillon;→;55 Great Suffolk Street;Rückbau.;;Führte den Rückbau von 55 Great Suffolk Street aus.
Vereinigtes Königreich;Brent Cross Town…;←;Brent Cross South Limited Partnership;Bauherrschaft.;;Verantwortete Brent Cross Town als Bauherrschaft.
Vereinigtes Königreich;Brent Cross Town…;←;Related Argent;Bauherrschaft.;;Verantwortete Brent Cross Town als Bauherrschaft.
Vereinigtes Königreich;Brent Cross Town…;←;London Borough of Barnet;Bauherrschaft.;;Verantwortete Brent Cross Town als Bauherrschaft.
Vereinigtes Königreich;Brent Cross Town…;←;IF_DO;Entwurf.;;Entwarf Brent Cross Town.
Vereinigtes Königreich;Brent Cross Town…;←;Whitby Wood;Tragwerksplanung.;;Plante das Tragwerk für Brent Cross Town.
Vereinigtes Königreich;Brent Cross Town…;←;Bourne Special Projects / Bourne Group;Bauausführung.;;Führte die Bauarbeiten an Brent Cross Town aus.
Vereinigtes Königreich;Brent Cross Town…;←;Galldris Group;Bauausführung.;;Führte die Bauarbeiten an Brent Cross Town aus.
Vereinigtes Königreich;Brent Cross Town…;←;Cleveland Steel & Tubes;Lieferte Reuse-Stahl.;;Lieferte Reuse-Stahl für Brent Cross Town.
Vereinigtes Königreich;Brighton Waste House;←;Mears Group;"Beteiligung; genaue Rolle noch offen.";;"War an Brighton Waste House beteiligt; Aufgabe offen."
Vereinigtes Königreich;Brighton Waste House;←;Greater Brighton Metropolitan College;"Beteiligung; genaue Rolle noch offen.";;"War an Brighton Waste House beteiligt; Aufgabe offen."
Vereinigtes Königreich;Mears Group;—;University of Brighton;Bauten das Waste House gemeinsam.;;Bauten das Brighton Waste House gemeinsam.
Vereinigtes Königreich;Hastings Pier Visitor…;←;dRMM Architects;Entwarf Centre.;;Entwarf Hastings Pier Visitor Centre.
Vereinigtes Königreich;Hastings Pier Visitor…;←;Hastings Pier Charity;Beauftragte Bau Centre.;;Beauftragte den Bau des Hastings Pier Visitor Centre.
Vereinigtes Königreich;Hastings Pier Visitor…;←;Ramboll;Übernahm die Ingenieurplanung.;;Übernahm die Ingenieurplanung für Hastings Pier.
Vereinigtes Königreich;Hastings Pier Visitor…;←;PT Projects;Fachplanung.;;Übernahm die Fachplanung für Hastings Pier Visitor Centre.
Vereinigtes Königreich;Hastings Pier Visitor…;←;KLH;Lieferte CLT für Centre.;;Lieferte CLT für Hastings Pier Visitor Centre.
Vereinigtes Königreich;Hastings Pier Visitor…;←;Hastings & Bexhill Wood Recycling;Arbeitete Reuse-Holz für Centre auf.;;Arbeitete Reuse-Holz für Hastings Pier Visitor Centre auf.
Vereinigtes Königreich;Holbein Gardens, London;←;Grosvenor;Bauherrschaft.;;Verantwortete Holbein Gardens, London als Bauherrschaft.
Vereinigtes Königreich;Holbein Gardens, London;←;Barr Gazetas;Entwurf.;;Entwarf Holbein Gardens, London.
Vereinigtes Königreich;Holbein Gardens, London;←;Eurban;Lieferte Reuse-Holz.;;Lieferte Reuse-Holz für Holbein Gardens, London.
Vereinigtes Königreich;Holbein Gardens, London;←;Blenheim House;Bauausführung.;;Führte die Bauarbeiten an Holbein Gardens, London aus.
Vereinigtes Königreich;Cleveland Steel & Tubes;—;Channel Projects;Arbeiteten am ReFrame-Stahlpiloten zusammen.;;Arbeiteten am ReFrame-Stahlpiloten zusammen.
Vereinigtes Königreich;House of Fraser;←;Stiff + Trevillion;Entwurf.;;Entwarf House of Fraser.
Vereinigtes Königreich;House of Fraser;←;ECE Architecture;Entwurf.;;Entwarf House of Fraser.
Vereinigtes Königreich;House of Fraser;←;McLaren Construction;Rückbau.;;Führte den Rückbau von House of Fraser aus.
Vereinigtes Königreich;BedZED;←;BioRegional;Tragwerksplanung.;;Plante das Tragwerk für BedZED.
Vereinigtes Königreich;BedZED;←;Peabody Trust;Bauherrschaft.;;Verantwortete BedZED als Bauherrschaft.
Vereinigtes Königreich;BedZED;←;Bill Dunster / ZEDfactory;Entwurf.;;Entwarf BedZED.
Vereinigtes Königreich;BedZED;←;Ellis & Moore Consulting Engineers;Tragwerksplanung.;;Plante das Tragwerk für BedZED.
Vereinigtes Königreich;PLP London HQ circular…;←;Contrax Furniture;Fertigte Tischlerarbeiten für das PLP HQ.;;Fertigte Tischlerarbeiten für das PLP London HQ.
Vereinigtes Königreich;PLP London HQ circular…;←;Solus;Lieferte Terrazzo für das PLP HQ.;;Lieferte Terrazzo für das PLP London HQ.
Vereinigtes Königreich;Contrax Furniture;—;PLP Architecture;Fertigten Tischlerarbeiten für das PLP-Projekt.;;Fertigten Tischlerarbeiten für das PLP-Projekt.
Vereinigtes Königreich;Solus;→;PLP Architecture;Lieferte Terrazzo für das PLP-Projekt.;;Lieferte Terrazzo für das PLP-Projekt.
Vereinigtes Königreich;Roots in the Sky;←;Studio RHE;Entwurf.;;Entwarf Roots in the Sky.
Vereinigtes Königreich;Roots in the Sky;←;Sheppard Robson;Entwurf.;;Entwarf Roots in the Sky.
Vereinigtes Königreich;Roots in the Sky;←;Symmetrys;Tragwerksplanung.;;Plante das Tragwerk für Roots in the Sky.
Vereinigtes Königreich;Roots in the Sky;←;Mace;Bauausführung.;;Führte die Bauarbeiten an Roots in the Sky aus.
Vereinigtes Königreich;Roots in the Sky;←;Erith;Rückbau.;;Führte den Rückbau von Roots in the Sky aus.
Vereinigtes Königreich;Roots in the Sky;←;Fabrix;Bauherrschaft.;;Verantwortete Roots in the Sky als Bauherrschaft.
Vereinigtes Königreich;Symmetrys;→;55 Great Suffolk Street;Tragwerksplanung.;;Plante das Tragwerk für 55 Great Suffolk Street.
Vereinigtes Königreich;Mace;→;Timber Square London;Bauausführung.;;Führte die Bauarbeiten an Timber Square London aus.
Vereinigtes Königreich;Timber Square London;←;Landsec;Bauherrschaft.;;Verantwortete Timber Square London als Bauherrschaft.
Vereinigtes Königreich;Timber Square London;←;Bennetts Associates;Entwurf.;;Entwarf Timber Square London.
Vereinigtes Königreich;Timber Square London;←;Hoare Lea;Nachhaltigkeitsberatung.;;Beriet Timber Square zur Nachhaltigkeit.
Vereinigtes Königreich;Timber Square London;←;Alinea / T+T Alinea;Fachplanung.;;Übernahm die Fachplanung für Timber Square London.
Vereinigtes Königreich;Timber Square London;←;Hybrid Structures;Bauausführung.;;Führte die Bauarbeiten an Timber Square London aus.
Vereinigtes Königreich;Fabrix;→;55 Great Suffolk Street;Bauherrschaft.;;Verantwortete 55 Great Suffolk Street als Bauherrschaft.
Österreich;re:store / HarvestMAP Vienna;←;materialnomaden;Betrieb als Herausgeberin.;ja;Betreibt re:store als Herausgeberin.
Österreich;BIG (Bundesimmob.);←;BauKarussell;Führte Social Urban Mining am MedUni-Campus durch.;ja;Führte Social Urban Mining am MedUni-Campus durch.
Österreich;MedUni Wien;—;BauKarussell;Zusammenarbeit.;ja;Arbeiteten am MedUni-Campus zusammen.
Österreich;DRZ;→;MedUni Campus Wien;"Beteiligung; genaue Rolle noch offen.";ja;"War an MedUni Campus Wien beteiligt; Aufgabe offen."
Österreich;DRZ;→;Ferry-Dusika-Stadion Rückbau;Rückbau.;ja;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;Die Kümmerei;→;Ferry-Dusika-Stadion Rückbau;Rückbau.;ja;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;MedUni Campus Wien;←;BauKarussell;Reuse-Konzept.;ja;Erarbeitete das Reuse-Konzept für MedUni Campus Wien.
Österreich;BauKarussell;←;Re-Use Austria;Gründung der Genossenschaft.;ja;Gründete die BauKarussell-Genossenschaft mit.
Österreich;BauKarussell;→;Ferry-Dusika-Stadion Rückbau;Reuse-Konzept.;ja;Erarbeitete das Reuse-Konzept für Ferry-Dusika-Stadion.
Österreich;BauKarussell;←;Job-TransFair gemeinnützige GmbH;Mitgliedschaft in der Genossenschaft.;ja;Nimmt an der BauKarussell-Genossenschaft teil.
Österreich;BauKarussell;←;pulswerk GmbH;Mitgliedschaft in der Genossenschaft.;ja;Nimmt an der BauKarussell-Genossenschaft teil.
Österreich;Re-Use Austria;→;Ferry-Dusika-Stadion Rückbau;Rückbau.;ja;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;Ferry-Dusika-Stadion Rückbau;←;Job-TransFair gemeinnützige GmbH;"Beteiligung; genaue Rolle noch offen.";ja;"War an Ferry-Dusika-Stadion beteiligt; Aufgabe offen."
Österreich;Ferry-Dusika-Stadion Rückbau;←;pulswerk GmbH;Rückbau.;ja;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;Ferry-Dusika-Stadion Rückbau;←;WSE Wiener Standortentwicklung GmbH;Projektsteuerung.;ja;Übernahm das Projektmanagement des Stadionrückbaus.
Österreich;BauKarussell;←;ATP sustain GmbH;Mitgliedschaft in der Genossenschaft.;;Nimmt an der BauKarussell-Genossenschaft teil.
Österreich;BauKarussell;←;Gesa – Gemeinnützige Sanierungs- und Beschäftigungs GmbH;Mitgliedschaft in der Genossenschaft.;;Nimmt an der BauKarussell-Genossenschaft teil.
Österreich;BauKarussell;←;Volkshilfe Wien;Mitgliedschaft in der Genossenschaft.;;Nimmt an der BauKarussell-Genossenschaft teil.
Österreich;BauKarussell;—;IBO – Österr. Institut für Bauen und Ökologie (BuildReUse);Verbundpartnerschaft.;;Arbeiteten im BuildReUse-Verbund zusammen.
Österreich;Ökologie-Institut;—;ATP sustain GmbH;Arbeiteten im BuildReUse-Verbund zusammen.;;Arbeiteten im BuildReUse-Verbund zusammen.
Österreich;Ökologie-Institut;—;IBO – Österr. Institut für Bauen und Ökologie (BuildReUse);Verbundpartnerschaft.;;Arbeiteten im BuildReUse-Verbund zusammen.
Österreich;Romm ZT;→;Ferry-Dusika-Stadion Rückbau;Rückbau.;;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;ATP sustain GmbH;—;Madaster Austria GmbH;Partnerschaft.;;Schlossen eine Partnerschaft für Madaster Austria.
Österreich;Ferry-Dusika-Stadion Rückbau;←;Schindel und Holz;Rückbau.;;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;Ferry-Dusika-Stadion Rückbau;←;Verein ISSBA;Rückbau.;;Führte den Rückbau des Ferry-Dusika-Stadions aus.
Österreich;Ferry-Dusika-Stadion Rückbau;←;Volkshilfe Wien;"Beteiligung; genaue Rolle noch offen.";;"War an Ferry-Dusika-Stadion beteiligt; Aufgabe offen."
