rank,project_id,project_name,project_full_name,status,year_completed,degree,country_count,countries,city_count,cities,actor_count,actors,program_count,programs,building_count,buildings,component_group_count,component_groups,component_type_count,component_types,material_count,materials,method_count,methods,process_phase_count,process_phases,use_count,uses,procurement_path_count,procurement_paths,barrier_count,barriers,software_count,software,primary_source_url,source_urls
54,p_villa_welpeloo_enschede,Villa Welpeloo Enschede,,Realisiert,2009,34,1,Niederlande,1,Enschede,4,Nico Plukkel; Private Bauherrschaft Villa Welpeloo; Superuse Studios / 2012Architecten; TKF / Twente cable factory,0,,3,Paternoster-; Twente; Villa Welpeloo Wohnhaus…,4,Bau-/Montagelift als…; Holzfassade aus Kabeltro…; Polystyrol-Dämmplatten…; Stahlträger aus Paternos…,0,,0,,0,,0,,2,Kultur; Wohnen,0,,0,,0,,,https://eurocodes.jrc.ec.europa.eu/sites/default/files/2021-12/EUR23252EN.pdf; https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643; https://www.superuse-studios.com/projectplus/villa-welpeloo; https://www.ellenmacarthurfoundation.org/circular-examples/finding-and-utilising-waste-materials-for-construction-purposes; https://www.superuse-studios.com/about-us; https://www.architectuur.org/bouwwerk/42/Villa_Welpeloo.html; https://csustentavel.com/en/villa-welpeloo-i-salveged-house; https://knowledge-hub.circle-economy.com/article/30046; https://www.e-genius.at/lernfelder/energieeffiziente-gebaeudekonzepte/innovative-baukonzepte/innovative-beispiele-fuer-bauen-mit-recyclingmaterialien/villa-welpeloo; https://journals.open.tudelft.nl/dash/article/view/4751; https://circularmaterialsystems.com/en/case/villa-welpeloo; https://www.tea-after-twelve.com/all-issues/issue-03/issue-03-overview/chapter1/villa-welpeloo-constructed-from-waste-materials; https://www.superuse-studios.com/
55,p_55_great_suffolk_street_london,55 Great Suffolk Street,"55 Great Suffolk Street, London",Unklar,2024,33,1,Vereinigtes Königreich,1,London,9,AKT II; Cantillon; CBRE; Cleveland Steel & Tubes; Fabrix; Gardiner & Theobald; Hawkins\Brown; Opera; Symmetrys,0,,2,"1 Broadgate, London; 55 Great Suffolk Street…",1,Steel profiles for…,2,Stuetze; Traeger,1,Stahl,0,,0,,2,Buero; Gewerbe,0,,0,,0,,,
56,p_brighton_waste_house_brighton,Brighton Waste House,Brighton Waste House / Brighton Wild House,Realisiert,,33,1,Vereinigtes Königreich,1,Brighton,4,"Cat Fletcher / Freegle; Greater Brighton Metropolitan College; Mears Group; Studierende, Schulkinder und Freiwillige",0,,1,Brighton Waste House,6,Betonblöcke; Denim jeans als Dämm-/Ho…; Holz und Sperrholz aus…; Teppichfliesen als…; Vinylbanner als Dampfbre…; Zahnbürsten und Medienab…,0,,0,,4,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Verfuegbarkeitsbasiertes_Design,0,,2,Kultur; Schule_Bildung,2,Informelles_Netzwerk; Spende,2,Unkonventionelles_Material; Witterung_Feuchte,0,,,https://www.construction21.org/articles/h/the-brighton-waste-house.html
57,p_mehrow_pilot_house,Mehrow Pilot House,,Realisiert,2005,33,1,Deutschland,1,"Mehrow, Brandenburg",2,Claus Asam / IEMB; Hervé Biele / Conclus,1,Pilotprojekt,2,Abgerissener Marzahner…; Mehrow Pilotwohnhaus,2,22 wiederverwendete…; 27 wiederverwen… (Mehrow),0,,0,,0,,0,,1,Wohnen,0,,0,,0,,,https://www.sciencedirect.com/topics/engineering/inverset; https://www.sciencedirect.com/science/article/pii/S0959652622048090; https://taz.de/Die-Wiedergeburt-der-Platte/!493469; https://www.tagesspiegel.de/potsdam/brandenburg/plattenbau-wird-familienhaus-8009110.html
58,p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,Härmälänranta,Härmälänranta / A-Kruunu ReCreate mini-pilot Tampere,Realisiert,,32,1,Finnland,1,Tampere,7,A-Kruunu; Consolis Parma; LIIKE Oy Arkkitehtistudio; Ramboll Finland; Skanska Finland; Tampere University / Satu Huuhka; Umacon,3,ReCreate; ReCreate Finnish cluster mini-pilot; Horizon 2020 (EU Forschungsförderung),2,1980er Bürogebäude im…; Härmälänrannan Ernst,2,Hohlkörp… (Harmalanranta); Luftschutzraum-Deckenber…,0,,0,,0,,5,Aufbereitung; Pruefung; Rueckbau; Transport; Wiedereinbau,1,Wohnen,1,Direktvermittlung,0,,0,,,https://www.a-kruunu.fi/
59,p_jugendtreff_ingersheim,Jugendtreff Ingersheim,"Jugendtreff Ingersheim — CLT-Reuse Pilot (Stuttgart 210 first reallab, 2024)",built 2024,,32,1,Deutschland,1,Ingersheim,3,Faltlhauser Krapf; Gemeinde Ingersheim; Klingelhöfer Krötsch,2,Stuttgart 210; Holzbau-Offensive BW,2,Jugendtreff Ingersheim; Stuttgart 21 Bhf,2,Ingersheim CLT-Ausbau; Ingersheim CLT-Bau,0,,0,,0,,0,,1,Kultur,0,,1,Unkonventionelles_Material,0,,,
60,p_gjg_house_gentbrugge,gjG House,"gjG House, Gentbrugge / Ghent",Realisiert,2015,32,1,Belgien,1,Gentbrugge / Ghent,5,Barbara Oelbrandt; BLAF Architecten; G-build; Tecclem; Vlieghe,0,,1,gjG House,2,Gekrümmte strukturell…; Stahl-/Holz-Infill-Struk…,0,,0,,3,Bestands_und_ReUse_Assessment; Reversibles_Design; Verfuegbarkeitsbasiertes_Design,2,Planung; Wiedereinbau,1,Wohnen,1,Informelles_Netzwerk,0,,0,,,https://www.archdaily.com/951845/gjg-house-blaf-architecten; https://www.designboom.com/architecture/blaf-architects-reused-bricks-gjg-house-belgium-10-30-2020; https://www.archisearch.gr/architecture/gjg-house-in-gentbrugge-belgium-by-blaf-architects; https://architectuur.gent/project/6263c34eeb7f8/woning-gjg
61,p_montessori_maassluis,Montessori Maassluis,,Geplant; In_Bau,,31,1,Niederlande,1,Maassluis,8,A. de Jong Groep; Anculus B.V.; IMd Raadgevende Ingenieurs; Kraaijvanger Architects; Stichting Montessorischolen Monton; Van Dijk Maasland B.V.; VIA Landscape; Vintis installatieadviseurs,0,,1,Montessorischool…,0,,0,,0,,0,,0,,1,Schule_Bildung,0,,0,,0,,,https://www.montessorischoolmaassluis.nl/
62,p_boulder_fire_station_3,Boulder FS-3,Boulder Fire Station 3 / City of Boulder Fire Rescue Station #3,Realisiert,2024,30,1,USA,1,"Boulder, Colorado",6,Boulder Community Health / Boulder Community Hospital; City of Boulder; Davis Partnership Architects; Full Metal Iron; KL&A Engineers and Builders; Mark Young Construction,0,,2,Boulder Community…; Fire Station 3 & Fire…,3,89 salvaged wide-flange…; Boulder Community…; Glulam Columns im…,0,,0,,4,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Urban_Mining_und_Scouting; Zirkulaere_Beschaffung,0,,1,Infrastruktur,2,Eigenbestand; Rueckbauprojekt,1,Aufbereitungsaufwand,0,,,
63,p_saxum_vineyard_equipment_barn_paso_robles,Saxum Vineyard Equipment…,Saxum Vineyard Equipment Barn,Realisiert,,30,1,USA,1,Paso Robles / Templeton Gap,5,Clayton & Little / Clayton Korte; Pacific Energy Company; Rarig Construction; Saxum Vineyards; SSG Structural Engineers,0,,1,Saxum Vineyard Equipment…,3,Drill-Stem-Pipe Dachtrag…; Drill-Stem-Pipe Stützen…; Wetternde Stahl-Offcut-T…,0,,0,,0,,5,Aufbereitung; Identifikation; Planung; Pruefung; Wiedereinbau,1,Lager_Depot,1,Direktvermittlung,1,Unkonventionelles_Material,1,RISA-3D,,https://www.aisc.org/awards-and-honors/ideas-awards-archive/saxum-vineyard-equipment-barn; https://rarig.com/projects/agricultural-cold-storage/saxum-vineyards-equipment-barn; https://www.world-architects.com/nl/projects/view/saxum-vineyard-equipment-barn; https://risa.com/case-studies/saxum-vineyard-equipment-barn; https://www.architecturelab.net/saxum-vineyard-equipment-barn-clayton-korte; https://www.saxumvineyards.com/
64,p_bedzed_london_hackbridge,BedZED,BedZED / Beddington Zero Energy Development,Realisiert,2002,29,1,Vereinigtes Königreich,1,London,6,Arup; Bill Dunster / ZEDfactory; BioRegional; Ellis & Moore Consulting Engineers; Gardiner & Theobald; Peabody Trust,0,,3,BedZED mixed-use quarter; Brighton Railway…; Local demolition and…,3,Fixed secondary componen…; Softwood wall studs; Structural steel frame…,0,,0,,0,,0,,3,Gewerbe; Mischnutzung; Wohnen,0,,0,,0,,,https://www.bioregional.com/projects-and-services/case-studies/bedzed
65,p_bestandverplanzung_pavilion_muenchen,Bestandverplanzung…,"Bestandverplanzung Pavilion, München",Prototyp; Realisiert,2008,29,1,Deutschland,1,München,0,,0,,2,Bestandverplanzung…; Bungalows des Olympische…,1,Betonfertigteil-Paneele…,0,,0,,0,,0,,0,,0,,0,,0,,,https://www.studentenwerk.mhn.de/en/accommodation/halls-of-residence/munich/central-munich/student-district-olympisches-dorf/
66,p_broethen_twin_house_hoyerswerda,Broethen Twin-House,"Broethen Twin-House, Hoyerswerda",Realisiert,2001,29,1,Deutschland,1,Hoyerswerda / Broethen,0,,0,,1,Broethen Twin-House,2,P2-Deckenplatten; P2-Wandplatten,0,,0,,0,,0,,1,Wohnen,0,,0,,0,,,https://www.sciencedirect.com/topics/engineering/inverset; https://www.sciencedirect.com/science/article/pii/S0959652622048090; https://recreate-project.eu/tag/german-cluster/
67,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp,CascadeUp / London secondary-timber glulam demonstrator,Prototyp,,29,1,Vereinigtes Königreich,1,London,3,Dr Colin Rose; UCL Circular Economy Lab; UK CLT,0,,1,CascadeUp modularer…,4,bg_reuse_holz_tragwerk_cascadeup_glulamst_frame; bg_reuse_holz_wand_decke_cascadeup_clst_panels; CLST-Bodenpaneele; GlulamST-Tragwerksrahmen,0,,0,,2,Bestands_und_ReUse_Assessment; Urban_Mining_und_Scouting,0,,2,Kultur; Schule_Bildung,0,,2,Aufbereitungsaufwand; Verfuegbarkeitsproblem,0,,,
68,p_juch_areal_recyclingzentrum_zuerich,Juch-Areal Recyclingzent…,Juch-Areal Recyclingzentrum Zürich,Geplant,,29,1,Schweiz,1,Zürich,4,Entsorgung + Recycling Zürich (ERZ); Graber Pulver Architekt:innen; manoa Landschaftsarchitekten; Weber + Brönnimann AG,0,,4,Ehemalige Recyclinghalle…; Kerenzerbergtunnel; Neues Recyclingzentrum…; Schellinghalle Rümlang,3,1:1 versetzte Stahlstruk…; Beton-Pilzstützen und…; Betonplatten aus dem…,0,,0,,0,,0,,1,Infrastruktur,0,,3,Fehlende_Lagerflaeche; Terminunsicherheit; Verfuegbarkeitsproblem,1,BIM / digitaler Bauteilkatalog,,https://zirkular.net/de/projekt/erz-juchareal; https://www.stadt-zuerich.ch/de/planen-und-bauen/projekte-und-ausschreibungen/hochbauvorhaben/planung-ausfuehrung/recyclingzentrum-juch-areal.html; https://www.stadt-zuerich.ch/de/aktuell/medienmitteilungen/2025/07/neubau-recyclingzentrum-juch-areal.html; https://www.stadt-zuerich.ch/de/aktuell/publikationen/2026/reuse-tragstrukturen-studie.html; https://www.cirkla.ch/de/le-reseau-du-reemploi/lannuaire/projets/recyclingzentrum-juch-areal; https://www.perita.ch/de/projekt/recyclingzentrum-juch-areal; https://www.studioloko.ch/en/projects/recyclingzentrum-juch-areal; https://www.energiekonzepte.ch/en/current/zirkularitaet-am-bau-innovationsprojekt-recyclingzentrum-juch-areal; https://eurocodes.jrc.ec.europa.eu/sites/default/files/2021-12/EUR23252EN.pdf; https://www.baunetzwissen.de/gesund-bauen/fachwissen/regelwerke/normen-fuer-den-lehmbau-3393643
69,p_recrete_footbridge_reused_concrete_blocks,Re:Crete footbridge,Re:Crete footbridge — reused concrete blocks,Prototyp,,29,1,Schweiz,0,,2,EPFL Structural Xploration Lab; Re:Crete Forschungsteam,1,Forschungsprojekt,1,Re:Crete Fußgängerbrücke…,1,25 Betonblöcke,0,,0,,0,,7,Aufbereitung; Dokumentation; Identifikation; Pruefung; Rueckbau; Transport; Wiedereinbau,1,Infrastruktur,1,Rueckbauprojekt,1,Verfuegbarkeitsproblem,1,Finite-Elemente-Modell / FE-Modell,,https://www.construction21.org/articles/h/recrete-footbridge.html
70,p_association_house_groeditz,Vereinshaus Gröditz,"Association house, Gröditz",Realisiert,2007,29,1,Deutschland,1,Gröditz,0,,0,,2,School type Dresden…; Sport-/Vereinshaus…,2,Dresden-type precast…; WBS70 precast panels,0,,0,,0,,0,,1,Sozialbau,0,,0,,0,,,https://doi.org/10.1016/j.jclepro.2022.135235; https://www.bft-international.com/de/artikel/wiederverwendung-von-betonfertigteilplatten-4095412.html; https://baustatik-wiki.fiw.hs-wismar.de/mediawiki/index.php/Wiederverwendung_von_Stahlbetonbauteilen; https://innowest-brandenburg.de/beitraege/Bachelorarbeit-plattenbautyp-wbs-70; https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents
71,p_association_house_plauen,Vereinshaus Plauen,"Association house, Plauen",Realisiert,2007,28,1,Deutschland,1,Plauen,0,,0,,2,IW73/6 mass-housing…; Sport-/Vereinshaus Plauen,1,IW73/6 precast concrete…,0,,0,,0,,0,,1,Sozialbau,0,,0,,0,,,https://doi.org/10.1016/j.jclepro.2022.135235; https://www.bft-international.com/de/artikel/wiederverwendung-von-betonfertigteilplatten-4095412.html; https://www.researchgate.net/publication/365763750_Reuse_of_concrete_components_in_new_construction_projectscritical_review_of_77_circular_precedents; https://baustatik-wiki.fiw.hs-wismar.de/mediawiki/index.php/Wiederverwendung_von_Stahlbetonbauteilen; https://innowest-brandenburg.de/beitraege/Bachelorarbeit-plattenbautyp-wbs-70; https://www.haube.de/
72,p_lysp8_basel,LYSP8 Basel,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel (Loeliger Strub / Zirkular / Stiftung Habitat),completed 02/2025,,27,1,Schweiz,1,Basel,8,Baugenossenschaft mehr als wohnen; KIBAG; Laia Meier; Oxara AG; Pirmin Jung CH; Rebecca Brandmayer; Repoxit AG; Stiftung Habitat,0,,1,LysP8 Basel,4,LysP8 Fassade-Mix; LysP8 Gitterrost; LysP8 Küchen ZH-Wohns.; LysP8 Türen+Fliesen,0,,0,,0,,0,,2,Gewerbe; Wohnen,0,,4,Aufbereitungsaufwand; Fehlende_Lagerflaeche; Terminunsicherheit; Verfuegbarkeitsproblem,0,,,
73,p_lycee_michel_lucius_conversion_luxembourg,Lycée Michel Lucius…,"Lycée Michel Lucius Conversion, Luxembourg",Realisiert,2021,27,1,Luxemburg,1,Luxembourg-Limpertsberg,3,Administration des bâtiments publics; Daedalus Engineering; Schmets architectes,1,Pilotprojekt,4,Lycée Lucius B3000; Lycée Lucius B6000; Lycée Lucius Campus; Neue Esplanade und…,7,"11,8 t Stahlprofile als…; 12 Metall-Deckenpaneele; 135 m² wiederverwendete…; 38 Fertigbetonelemente…; 419 m² Gips-Akustikpanee…; 61 m² Bodenblech als…; Stahlfassadenpaneele…",0,,0,,0,,0,,1,Schule_Bildung,0,,0,,0,,,https://opalis.eu/en/projects/conversion-two-wings-lycee-michel-lucius; https://www.daedalus.lu/projekte/neugestaltung-des-gelandes-des-lycee-michel-lucius; https://prizes.new-european-bauhaus.europa.eu/application/sustainable-campus-transformation; https://abp.gouvernement.lu/en/actualites.gouvernement2024%2Bfr%2Bactualites%2Btoutes_actualites%2Bcommuniques%2B2023%2B09-septembre%2B12-bausch-lucius.html; https://luga.lu/en/experience/economie-circulaire-dans-la-construction; https://www.naturanal.com/story/reusing-materials-crisis-in-the-construction-sector; https://opalis.eu/fr/projets/lycee-michel-lucius
74,p_schaerenmoosstrasse_zuerich,Schärenmoosstr. ZH,Schärenmoosstrasse 115/117 Zürich — ménage à trois (Stiftung PWG Wettbewerb 2022),1st-rank competition 2022; unbuilt,,25,1,Schweiz,1,Zürich,6,AG Landschaftsarch.; Andreas Geser; Michael Schmidlin; Pérez Schmidlin; Stefan Pérez; Stiftung PWG,1,Stiftung PWG Wettbewerb,2,Schärenmoosstr. ZH; UBS Datenz. Altstetten,3,bg_reuse_metall_fassade_schaerenmoos_fassade_absturz; bg_reuse_stahl_mehrere_schaerenmoos_dachpergolen; bg_reuse_stahl_mehrere_schaerenmoos_laubengang_balkone,0,,0,,3,Bestands_und_ReUse_Assessment; Dokumentation_und_Monitoring; Zirkulaere_Beschaffung,0,,2,Gewerbe; Wohnen,0,,1,Entwurfsbindung,0,,,
75,p_kamikatsu_zero_waste_center_hotel_why,Kamikatsu Zero Waste…,Kamikatsu Zero Waste Center / Hotel WHY,Realisiert,2020,24,1,Japan,1,"Kamikatsu, Tokushima Prefecture",5,Hiroshi Nakamura & NAP; Kamikatsu Town; Kitajima Corporation; Lokale Einwohner Kamikatsu; Yamada Noriaki Structural Design Office,0,,3,Altes Rathaus Kamikatsu; Kamikatsu Zero Waste…; Lokale Häuser und…,5,Alte Fliesen als Mosaik-; Alte Rathauswandteile…; Alte Shoji-Schirme und…; Ca. 700 gespendete…; Glas- und Keramikscherbe…,0,,0,,0,,0,,2,Infrastruktur; Mischnutzung,0,,2,Heterogenitaet_Chargen; Witterung_Feuchte,0,,,https://why-kamikatsu.jp/
76,p_lokomotion_technology_centre_mini_pilot_tampere,Lokomotion Technology…,Lokomotion Technology Centre mini-pilot Tampere,In_Bau,,23,1,Finnland,1,Tampere,6,Consolis Parma; Metso Oyj; Ramboll Finland; Skanska Finland; Tampere University / ReCreate Finnish cluster; Umacon,1,ReCreate,4,1980er Bürogebäude im…; Consolis Parma Werk…; Metso Lokomotion…; Technikbau und Personalr…,1,27 wiederve… (Lokomotion),0,,0,,0,,0,,2,Gewerbe; Infrastruktur,0,,2,Aufbereitungsaufwand; Terminunsicherheit,0,,,https://www.lokomotion.fi/
77,p_institut_de_botanique_ulg_liege,Institut de Botanique…,"Institut de Botanique de l’ULg, Liège",Realisiert,,22,1,Belgien,1,Liège / Lüttich,0,,0,,1,Institut de Botanique…,1,/ rückgewonnene Holzfass…,0,,0,,0,,0,,1,Schule_Bildung,0,,1,Witterung_Feuchte,0,,,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege
78,p_big_dig_building_boston,Big Dig Building,"Big Dig Building, Boston/Cambridge",Prototyp; Verworfen; Vorgeschlagen,2008,20,1,USA,2,"Boston; Cambridge, Massachusetts",4,Jinhee Park; John Hong; Paul Pedini; Single Speed Design,1,Wettbewerb,2,Big Dig (CA/T); Big Dig Building,0,,0,,0,,0,,0,,0,,0,,2,Unkonventionelles_Material; Verfuegbarkeitsproblem,0,,,https://metropolismag.com/programs/single-speed-design-the-2004-next-generation-winner/
79,p_big_dig_house_lexington_massachusetts,Big Dig House,"Big Dig House, Lexington, Massachusetts",Realisiert,2006,20,1,USA,1,"Lexington, Massachusetts",4,Jinhee Park; John Hong; Paul Pedini; Single Speed Design,0,,2,Big Dig (I-93); Big Dig House,3,"Inverset-Stahlbetonpanee…; Ramp-, Pier- und…; Stahlträger un… (Big Dig)",0,,0,,0,,0,,0,,1,Rueckbauprojekt,0,,0,,,https://www.projectarchitects.com/projects/big-dig-house
80,p_maison_dna_asse,Maison DnA,"Maison DnA / dnA House, Asse",Realisiert,2013,20,1,Belgien,1,Asse,2,BLAF Architecten; Private Bauherrschaft Maison DnA,0,,1,Maison DnA Einfamilienha…,2,Innere Holzrahmenbox…; Ziegelwände als äußere…,0,,0,,0,,0,,1,Wohnen,0,,0,,0,,,https://www.archdaily.com/423660/dna-house-blaf-architecten; https://archello.com/project/dna-house; https://www.vai.be/en/buildings/eensgezinswoning/woning-dn-a-asse; https://opalis.eu/fr/projets/maison-dna
81,p_melkinlaituri_primary_school_daycare_centre_helsinki,Melkinlaituri Primary…,Melkinlaituri Primary School and Day-care Centre Helsinki,In_Bau; Realisiert,,19,1,Finnland,1,Helsinki,6,City of Helsinki; Consolis Parma; Ramboll Finland; ReCreate Finnish cluster; Umacon; YIT,2,Forschungsprojekt; Pilotprojekt,2,Melkinlaituri elementary…; Suutarila community…,1,64 reused hollow-core…,0,,0,,0,,0,,1,Schule_Bildung,0,,0,,0,,,https://verstasarkkitehdit.fi/projects/melkinlaituri-school-and-daycare-centre/
82,p_oxy_centre_monnaie,OXY Centre Monnaie,OXY — Centre Monnaie Brussels reuse renovation,,,4,0,,0,,4,Immobel; Rotor; RotorDC; Whitewood,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,https://rotordb.org/en/news/material-donnerie-oxy-friday-25-november,https://rotordb.org/en/news/material-donnerie-oxy-friday-25-november; https://rotordb.org/en/news/works-oxy-well-underway; https://rotordb.org/en/projects/oxy-centre-monnaie
83,p_lysp8,LysP8 — LysBüchelStrasse 8 Reuse Pilot Basel,,,,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
