Akteur;Rolle;Relevanz
Bærebyg;Bauteilhandel;Verkauft geborgene Türen, Fenster und Haustechnik für neue Bauprojekte.
Carlsberg Byen P/S;Bestandsentwicklung;Setzt geborgene Ziegel in der Transformation von Carlsberg Byen erneut ein.
Circue;Reuse-Audit;Erfasst Reuse-Potenziale digital und vermittelt verfügbare gebrauchte Bauteile.
Dem fra Nordlunde;Bauteilhandel;Lagert und verkauft geborgene Bauteile aus Rückbau und Ankäufen.
Den Grønne Genbrugshal;Bauteilhandel;Verkauft gebrauchte Türen, Fenster, Böden und weitere Baustoffe.
DOVISTA / KRONE;Fertigung mit Reuse-Material;Fertigt Fenster mit wiederverwendetem Ausschussglas für den erneuten Einbau.
DTU Byg – Sektion Materialer og Holdbarhed;Methodenentwicklung;Entwickelt zerstörungsfreie Prüfmethoden für wiederzuverwendende Bauteile.
Gamle Mursten;Qualitätsprüfung;Prüft, reinigt und verkauft geborgene Ziegel für neue Bauprojekte.
Gate 21;Programmmanagement / Pilotierung / Netzwerkkoordination;Koordiniert Partnerschaften, die Bauteil-Reuse erproben und skalieren.
Genbrugssten ApS;Sortierung;Sortiert, reinigt und verkauft geborgene Ziegel für neue Bauprojekte.
Genbyg;Bauteilhandel;Lagert und verkauft gebrauchte Bauteile für den Einsatz in neuen Bauprojekten.
Greater Copenhagen Area (CirCoFin pilot);Pilotierung;Erprobt einen Reuse-Hub mit Materialregister und digitalem Marktplatz.
GreenDozer ApS;Vermittlungsplattform;Vermittelt gebrauchte Baustoffe digital zwischen Anbietern und neuen Projekten.
Høje-Taastrup Kommune;Potenzialbewertung / Pilotierung;Untersucht Reuse-Potenziale von Rückbaumaterial für die Sanierung Gadehavegårds.
J. Jensen A/S;Sortierung;Sortiert, lagert und verkauft geborgene Bauteile aus eigenen Rückbauaufträgen.
Jakobsen Tegl ApS;Bauteilhandel;Sortiert, reinigt und verkauft gebrauchte Ziegel und Dachsteine.
jk-genbrug;Bauteilhandel;Lagert und verkauft gebrauchte Türen, Fenster und Haustechnik.
KC Nedbrydning A/S;Bauteilhandel;Verkauft gebrauchte Bauteile und Elektroartikel aus Rückbauprojekten.
Kingo (Kingo Karlsen A/S);Bauteilinventarisierung;Erfasst, sichert und versteigert Bauteile für den Einsatz in neuen Projekten.
Klassiske Vinduer;Bergung;Birgt, lagert und verkauft historische Fenster und Türen für neue Nutzungen.
Lendager;Architektur;Plant ein Hochhaus um verfügbare Reuse-Materialien und entwickelt Bauteillösungen.
Milva;Rückbauplanung;Erfasst Reuse-Potenziale digital und plant die selektive Bauteilgewinnung.
MT Højgaard;Sanierung;Saniert Bestandsbauten und baut erhaltene Materialien wieder ein.
Nedrivningsselskabet Falster;Selektiver Rückbau;Birgt Bauteile selektiv und verkauft sie für neue Bauprojekte.
OKpriser.dk A/S;Bauteilhandel;Sucht, lagert und verkauft gebrauchte sowie überschüssige Bauteile.
P. Olesen / PO Genbrug;Bauteilhandel;Verkauft gebrauchte Fenster, Türen, Haustechnik und weitere Bauteile.
Pihlmann Architects;Architektur;Plant Bestandsumbauten durch Erhalt, Neukonfiguration und geringe Eingriffe.
PlusByg;Bauteilhandel;Bereitet gebrauchte Bauteile auf, lagert und verkauft sie im Baumarkt.
Realdania;Fördermittelvergabe;Fördert die Entwicklung einer digitalen Börse für gebrauchte Baustoffe.
Region Hovedstaden;Bauherrschaft;Verantwortet ein Bauprojekt mit 80 Prozent wiederverwendeten Ziegeln.
Resource Rows;Referenzprojekt;Verbaut Fassadenelemente aus Abbruchstellen sowie gebrauchte Holzbauteile.
Roskilde Kommune;Gebäudeeigentum / Reuse-Strategie;Behandelt den kommunalen Gebäudebestand als Materialbank für Wiederverwendung.
Råt&Godt;Bauteilhandel;Fertigt aus Reuse-Material, verkauft Baustoffe und integriert junge Menschen.
Røde Kors Byggegenbrug;Sortierung;Sortiert, lagert und verkauft gespendete oder überschüssige Baustoffe.
Sanderum-Otterup Murerforretning;Sortierung;Sortiert, lagert und verkauft gebrauchte Qualitätsfliesen.
Skave Nedbrydning;Transport;Liefert und verkauft Fenster, Türen, Holz und Metall aus Rückbauten.
Svanen;Referenzprojekt;Verwendet Ziegel, Dachsteine, Sparren, Waschbecken und weitere Schulbauteile.
Sydhavn Genbrugscenter;Weitergabe;Gibt eingereichte Möbel, Leuchten und Baustoffe weiter und vermittelt Wissen.
Thoravej 29 Copenhagen;Referenzprojekt;Erhält und integriert Tragwerk, Oberflächen und Innenbauteile des Bestands neu.
TRÆ High-Rise;Referenzprojekt;Nutzt geborgene Aluminiumbleche und alte Rotorblätter für Fassade und Sonnenschutz.
Tscherning;Selektiver Rückbau;Demontiert und birgt Bauteile so, dass Qualität und Festigkeit erhalten bleiben.
Upcycle Studios Copenhag…;Referenzprojekt;Verbaut zu 75 Prozent wiederverwendete Fenster aus nordjütländischen Wohnbauten.
UpcyclingForum;Bauteilinventarisierung;Erfasst Bauteile digital und vermittelt sie über eine gemeinsame Plattform.
Vandkunsten;Methodenentwicklung;Entwickelt Designstrategien für langlebige Gebäude und wiederverwendbare Bauteile.
AIX Arkitekter;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
Akademiska Hus;Gebäudeeigentum;Stellt ein eigenes Rückbaugebäude als großmaßstäblichen Reuse-Demonstrator bereit.
Anthesis;Umweltbewertung / Datenanalyse / Methodenentwicklung;Entwickelt ein Klimamodell für inventarisierte, wiederverwendete Bauprodukte.
Bjerking;Reuse-Beratung / Potenzialbewertung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Beratung, Potenzialbewertung.
Brattöns Återbruk;Lagerung / Bauteilhandel;Lagert und verkauft gebrauchte Bauteile für neue Bau- und Umbauprojekte.
Business Region Göteborg;Netzwerkkoordination;Koordiniert Eigentümer beim Aufbau eines regionalen Marktes für gebrauchte Bauteile.
Bygghubben;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
ByggRetur;Vermittlungsplattform;Vermittelt gebrauchte Baustoffe über einen digitalen Marktplatz.
Byggåterbruket (Umeå);Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
CCBuild (IVL);Vermittlungsplattform / Wissensvermittlung;Direkt belegt im baulichen Reuse-Kontext: Vermittlungsplattform, Wissensvermittlung.
CCRI Pilot Uppsala;Programmmanagement;Koordiniert vier Standorte zur Lagerung, Prüfung und Vermittlung gebrauchter Bauteile.
Codesign Sweden AB;Projektsteuerung;Direkt belegt im baulichen Reuse-Kontext: Projektsteuerung.
Contiga;Demontage / Anpassung / Wiedereinbau;Demontiert, passt Hohlplatten an und montiert sie in einem neuen Gebäude erneut.
Fabege;Zwischenlagerung;Direkt belegt im baulichen Reuse-Kontext: Zwischenlagerung.
H22 Pavilion / ReCreate Sweden Pilot;Referenzprojekt;Verbaut zu 99 Gewichtsprozent wiederverwendete Bauteile einschließlich Betontragwerk.
Handslag för cirkulärt byggande;Netzwerkkoordination / Wissenstransfer;Vernetzt Eigentümer und überträgt Wissen für eine regionale Reuse-Marktbildung.
Helsingborgshem;Gebäudeeigentum / Pilotierung;Erprobt den Ausbau und Wiedereinbau gebrauchter Betontragteile im ReCreate-Pilot.
Kv Återbruket, Litteraturgatan/Selma stad, Göteborg;Referenzprojekt;Nutzt Betonhohldielen aus dem früheren IKEA Kållered und weitere Altbauteile.
Liljewall Arkitekter;Architektur;Direkt belegt im baulichen Reuse-Kontext: Architektur.
NCC;Reuse-Planung;Direkt belegt im baulichen Reuse-Kontext: Reuse-Planung.
Nygårds Byggåtervinning;Lagerung / Bauteilhandel;Lagert und verkauft gebrauchte Baustoffe für neue Bau- und Umbauprojekte.
Palats;Digitale Bestandserfassung / Datenplattform;Direkt belegt im baulichen Reuse-Kontext: Digitale Bestandserfassung, Datenplattform.
Ragn-Sells;Qualitätsprüfung;Direkt belegt im baulichen Reuse-Kontext: Qualitätsprüfung.
Reboost;Qualitätssicherung / Vermittlungsplattform;Direkt belegt im baulichen Reuse-Kontext: Qualitätssicherung, Vermittlungsplattform.
ReCreate Sweden / KTH Architecture, Technique and Theory;Bauteilsuche;Direkt belegt im baulichen Reuse-Kontext: Bauteilsuche.
RISE (Research Institutes of Sweden);Potenzialbewertung / Datenanalyse;Bewertet Produktgruppen und Marktbedingungen für großmaßstäblichen Wiedereinsatz.
Serviceförvaltningen und Miljöförvaltningen / Stockholms stad;Weiterbildung;Direkt belegt im baulichen Reuse-Kontext: Weiterbildung.
Strängbetong;Weitergabe;Direkt belegt im baulichen Reuse-Kontext: Weitergabe.
Sundahus;Bestandsdatenmanagement;Dokumentiert Bauprodukte über die Zeit und unterstützt ihre spätere Wiederverwendung.
Svensk Betong;Wissensvermittlung;Vermittelt Fachwissen zum Wiedereinsatz vorgefertigter Betonbauteile.
Teknikbyggarna;Investor;Investiert als Miteigentümer in den regionalen Handel mit gebrauchten Baustoffen.
Umeå kommun;Bauteilhandel;Direkt belegt im baulichen Reuse-Kontext: Bauteilhandel.
Varvsstaden / Materialbanken (Malmö);Bauteilkataster;Direkt belegt im baulichen Reuse-Kontext: Bauteilkataster.
Vasakronan;Gebäudeeigentum;Direkt belegt im baulichen Reuse-Kontext: Gebäudeeigentum.
Wiklunds Åkeri;Demontage / Zwischenlagerung / Transport;Demontiert, lagert und liefert gebrauchte Baustoffe für neue Bauprojekte.
Wilzéns;Investor;Investiert als Mitgründer in den regionalen Handel mit gebrauchten Baustoffen.
Zengun;Beschaffung;Direkt belegt im baulichen Reuse-Kontext: Beschaffung.
Åhlin & Ekeroth;Investor;Investiert als Mitinitiator in den regionalen Handel mit gebrauchten Baustoffen.
Återhus – att bygga hus av hus;Referenzprojekt;Realisierte im Pilotbau Hållbarhetshuset rund 70 Prozent wiederverwendetes Material.
Asker kommune – Ombruk;Programmmanagement / Reuse-Strategie;Steuert kommunale Wiederverwendung von Möbeln und Überschuss aus Bauprojekten.
Asplan Viak;Landschaftsarchitektur / Reuse-Planung;Plant KA13-Außenräume mit wiederverwendeten Granitplatten.
B-camp;Referenzprojekt;Nutzt ausrangierte Offshore-Wohnmodule als Wohnungen und später als Surfhotel.
Bevar / Urban Reuse (NG Group);Reuse-Beratung / Bestandsentwicklung / Bauausführung;Plant und baut mit erhaltenen Stahl- und Betonstrukturen in Bestandsgebäuden.
Bodø Kommune;Methodenentwicklung;Entwickelt im CityLoops-Pilot Werkzeuge für Reuse von Infrastruktur und Konstruktionen.
byggogbevar directory;Wissensvermittlung;Vermittelt Regeln, Verfahren und Beispiele für Erhalt und Wiederverwendung.
Donorbygg;Datenplattform;Macht wiederverwendbare Baumaterialien digital für die Wertschöpfungskette sichtbar.
Entra AS;Bauherrschaft / Projektentwicklung;Entwickelt und beauftragt KA13 mit Bestandserhalt und hohem Reuse-Anteil.
FornyBygg;Lagerung / Bauteilhandel;Lagert und verkauft gebrauchte Baustoffe und Überschussmaterialien.
FutureBuilt;Programmmanagement / Pilotierung / Richtlinienentwicklung;Steuert Pilotprojekte und Kriterien für zirkuläre Gebäude und Quartiere.
Helen & Hard;Architektur / Reuse-Planung;Entwirft Gebäude und Wohnungen mit erhaltenen Strukturen und gebrauchten Modulen.
Insenti;Projektsteuerung / Reuse-Beratung / Baustellenkoordination;Steuert KA13 und koordiniert Planung, Baustelle und Wiederverwendung.
Iris Ombrukssentral / Saltnes ombruk;Lagerung / Bauteilhandel;Lagert und verkauft gebrauchte Baustoffe für neue Bauvorhaben.
JCS AS;Demontage / Bauteilhandel;Gewinnt gebrauchte Baustoffe aus Gebäuden und stellt sie über eine Materialbank bereit.
KA13;Referenzprojekt;Nutzt 20.000 Ziegel, Granitplatten und Glasfelder aus anderen Gebäuden erneut.
Loopfront;Vermittlungsplattform;Betreibt eine digitale Plattform für die Wiederverwendung von Baumaterialien.
MAD arkitekter / Mad as;Architektur;Ist als Architekt des realisierten Reuse-Projekts KA13 belegt.
Materialbanken for bygningsvern;Bauteilhandel;Verkauft historische Türen, Fenster, Dachziegel und weitere gebrauchte Bauteile.
Multiconsult;Reuse-Beratung;Berät Bauprojekte durchgängig zur Wiederverwendung von Gebäuden und Materialien.
Nordlandsforskning AS;Methodenentwicklung / Angewandte Forschung / Monitoring und Evaluation;Entwickelt Bewertungsrahmen und Indikatoren für kommunale Reuse-Aktivitäten.
Ombruks-HUB Sørlandet AS;Zwischenlagerung / Vermittlung;Organisiert Zwischenlagerung und Verteilung demontierter Bauteile.
OMBYGG;Lagerung / Bauteilhandel;Lagert wiederverwendbare Bauwaren und verkauft sie aus der Ombrukszentrale.
ProffRebell / Remiks;Rücknahme / Bauteilhandel;Nimmt gebrauchte Bauwaren und Restposten an und verkauft sie erneut.
Regionalt ombruksnettverk for byggematerialer (Oslo-Trondheim);Netzwerkkoordination;Vernetzt Eigentümer für Erfassung und Austausch wiederverwendbarer Bauteile.
Rehub;Vermittlungsplattform;Stellt eine digitale Plattform für bauliche Wiederverwendung bereit.
Resirkula;Vermittlung / Wissenstransfer;Vermittelt gebrauchte Ausstattung und gibt Reuse-Erfahrungen durch Führungen weiter.
Scenario Interiørarkitekter;Innenarchitektur / Reuse-Planung;Plant das Interieur von KA13 weitgehend mit vorhandenen und geborgenen Materialien.
Sirken;Bauteilhandel;Betreibt einen Marktplatz für gebrauchte Baustoffe.
Sirkulær Ressurssentral;Methodenentwicklung / Wissenstransfer / Netzwerkkoordination;Entwickelt Reuse-Strukturen und leitet eine nationale Wissensarena für Bauprodukte.
TOBB;Gebäudeeigentum;Stellt eigene Gebäude für die Erfassung wiederverwendbarer Bauteile bereit.
Trondheim kommune;Methodenentwicklung / Richtlinienentwicklung;Entwickelt einen Leitfaden zur Wiederverwendung tragender Konstruktionen.
A-Insinöörit;Materialprüfung / Zulassung und Normenkonformität;Prüft die Produkteignung wiederverwendeter Bauprodukte für die Zulassung.
A-Kruunu;Bauherrschaft;Beauftragt ein Wohnhaus mit wiederverwendeten Hohldeckenplatten.
Closing Loops (Mustikkamaa pilot project);Referenzprojekt;Verbaut bis auf die Fundamente fast nur Bauteile aus Abbruchstandorten.
Consolis Parma;Technische Prüfung / Aufarbeitung;Prüft und arbeitet Betonfertigteile werksseitig für den Wiedereinsatz auf.
Durat;Rücknahmesystem;Kauft alte Durat-Möbel im Rahmen eines geregelten Rücknahmesystems zurück.
Ekokumppanit (Kiertotalous Pirkanmaa);Programmmanagement / Methodenentwicklung;Entwickelt und pilotiert ein Modell für Lagerung und Wiederverwendung von Bauteilen.
Havu Järvelä;Reuse-Planung / Angewandte Forschung;Untersuchte und plante im Diplomprojekt den Einsatz gebrauchter Bauteile im Neubau.
Housing Design / Department of Architecture / Aalto University;Angewandte Forschung;Erforscht im Department of Architecture zirkuläres Bauen und Wiederverwendung.
Härmälänranta;Referenzprojekt;Verbaut 25 wiedergewonnene Betonhohldielen in einem Wohngebäude.
Joensuun Rakennuspurku ja Timanttiurakointi Oy;Bauteilhandel;Verkauft brauchbare Produkte aus Rückbauprojekten zur weiteren Nutzung.
KIELO-Projektteam / Xamk;Methodenentwicklung / Angewandte Forschung / Monitoring und Evaluation;Entwickelt und erprobt Methoden zur Erfassung wiederverwendbarer Materialströme.
Kiilto Family;Demontagegerechtes Design / Technologieentwicklung;Entwickelt eine lösbare Verbindungstechnologie für den späteren Bauteilausbau.
Lokomotion Technology Center;Referenzprojekt;Verwendet 27 geborgene Hohldeckenplatten in zwei Gebäuden des Zentrums.
Markus Saarela;Reuse-Planung / Demontagegerechtes Design;Plant den Reuse-Bau aus geborgenen Teilen für spätere erneute Demontage.
Melkinlaituri Primary School and Daycare Centre;Referenzprojekt;Verbaut 350 m² geprüfte und aufgearbeitete Hohldeckenplatten im Erdgeschoss.
Mikkelin Kehitysyhtiö Miksei Oy;Programmmanagement / Methodenentwicklung / Wissenstransfer;Leitet KIELO und entwickelt Verfahren für Rückbau, Lagerung und Reuse.
Peikko Finland;Demontagegerechtes Design / Technologieentwicklung;Entwickelt lösbare Verbindungen für Demontage und Wiederverwendung von Tragwerken.
Purkukolmio Oy;Reparatur / Bauteilhandel;Repariert und verkauft gebrauchte Bauprodukte für eine weitere Nutzung.
Purkupiha;Vermittlungsplattform;Betreibt eine Plattform für den Handel mit gebrauchten Bauteilen und Anlagen.
Purkutori.fi;Vermittlungsplattform;Macht gebrauchte Bauteile und Anlagen für Kauf und Verkauf auffindbar.
Ramboll Finland;Tragwerksplanung / Rückbauplanung / Zulassung und Normenkonformität;Plant Rückbau und Aufarbeitung und weist die Wiederverwendbarkeit statisch nach.
ReCreate-Koordination / Faculty of Built Environment / Tampere University;Pilotierung / Angewandte Forschung;Erforscht und pilotiert Demontage und Wiederverwendung von Betonfertigteilen.
Rovastinkangas School Expansion;Referenzprojekt;Verbaut rund 40.000 geborgene Ziegel und erhält bestehende Gebäudeteile.
Sitowise;Methodenentwicklung / Angewandte Forschung;Erarbeitet Prüf- und Bewertungsgrundlagen für wiederverwendete Bauteile.
Skanska Finland;Bauausführung / Wiedereinbau;Montierte gebrauchte Betonhohldielen im realisierten finnischen ReCreate-Pilot.
Spolia;Reuse-Planung / Rückbauplanung / Zulassung und Normenkonformität;Plant Rückbau und Reuse und qualifiziert Bauteile für neue Einsatzorte.
SÄILÖ: Purusta säilöön ja kiertoon;Methodenentwicklung;Entwickelt ein Modell für die Wiederverwendung intakt demontierter Bauteile.
Tampereen kaupunki (City of Tampere);Regulierung / Genehmigung und Aufsicht;Entwickelt Regeln und Genehmigungspraxis für wiederverwendete Bauprodukte.
Urban Environment Division / City of Helsinki;Programmmanagement / Öffentliche Beschaffung / Reuse-Strategie;Verankert Bauteilwiederverwendung in Piloten und künftigen Bauanforderungen.
VTT – Circularity in the Built Environment;Methodenentwicklung / Angewandte Forschung;Entwickelt Methoden, damit Bauteile über mehrere Lebenszyklen wiederverwendet werden.
YIT;Bauausführung;Errichtet das Schulprojekt, in dem gebrauchte Hohldielen eingebaut werden.
BauKarussell;Potenzialbewertung / Selektiver Rückbau / Vermittlung;Bewertet Reuse-Potenziale, demontiert selektiv und vermittelt geborgene Bauteile.
Baustoffmanufaktur (DN das Nord GmbH);Bauteilhandel;Verkauft historische Holzböden und alte Baustoffe zur erneuten Verwendung.
Bauteilbörse (bauteilboerse.at);Rückbauplanung / Vermittlungsplattform;Plant Reuse-orientierten Rückbau und macht gerettete Bauteile digital auffindbar.
BIG (Bundesimmob.);Bauherrschaft / Gebäudeeigentum;Beauftragt Reuse-Rückbau und erhält Bestandsgebäude in Hochschulprojekten.
CIRCON;Bauteilhandel / Vermittlungsplattform;Vermarktet gebrauchte Bauteile über eine Plattform an neue Nutzer.
Die Kümmerei;Beschäftigungsprogramm;Beschäftigte beim Rückbauprojekt 25 arbeitsmarktbenachteiligte Personen.
DRZ;Selektiver Rückbau / Beschäftigungsprogramm;Führt selektiven Rückbau durch und schafft Beschäftigung in Reuse-Projekten.
enna;Referenzprojekt;Erhält die Betonstruktur und verwendet rund 60 Prozent der Materialien weiter.
Ferry-Dusika-Stadion Rückbau;Referenzprojekt;Beim Rückbau wurden 80.000 kg bearbeitet und ein Viertel wiederverwendet.
Hohensinn Architektur;Architektur / Bestandsentwicklung;Plant die Revitalisierung und Weiterentwicklung eines bestehenden Betonskelettbaus.
Job-TransFair gemeinnützige GmbH;Beschäftigungsprogramm;Eröffnet Transitarbeitskräften Beschäftigungschancen im Reuse-Rückbau.
Madaster Austria GmbH;Materialpass / Bauteilkataster / Datenplattform;Erstellt Materialpässe und Kataster, die spätere Wiederverwendung vorbereiten.
materialnomaden;Reuse-Planung / Potenzialbewertung / Vermittlung;Bewertet Bauteile, plant ihre Weiternutzung und vermittelt sie in neue Projekte.
MedUni Campus Wien;Referenzprojekt;Am Campus wurden 60.400 kg Bauteile ausgebaut und in neue Projekte vermittelt.
MedUni Wien;Bauherrschaft;Verankert Reuse und Ressourcenschonung als Ziel beim neuen Universitätscampus.
pulswerk GmbH;Projektsteuerung;Leitete als Ressourcenmanager das BauKarussell-Rückbauprojekt.
Re-Use Austria;Netzwerkkoordination;Koordiniert sozialwirtschaftliche Reuse-Betriebe für bauliche Großprojekte.
re:store / HarvestMAP Vienna;Bauteilhandel / Vermittlungsplattform;Verkauft und vermittelt Reuse-Bauteile aus Rückbauprojekten online und vor Ort.
VIE.CYCLE / DoTank Circular City Wien 2020–2030 (Stadt Wien, Stabsstelle SRN);Programmmanagement / Reuse-Strategie;Steuert Wiens Programm für zirkuläres Bauen und die Wiederverwendung von Bauteilen.
Wiener Aufzugmus.;Aufarbeitung;Arbeitet historische Aufzüge für ihre erneute Nutzung auf.
WSE Wiener Standortentwicklung GmbH;Projektsteuerung;Steuert das Stadionprojekt mit Social Urban Mining und vermittelten Reuse-Bauteilen.
