"fallstudie","reuse_einsatz","legacy_path","bauteil","material","herkunft","menge_umfang"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__007__Fenster","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Fenster","Glas/Metall/Holz unbekannt","externe Gebäude / Überschussprodukt","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__008__T_ren","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Türen","Holz/Metall/Glas unbekannt","andere Gebäude","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__009__Heizk_rper_Radiatoren","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Heizkörper / Radiatoren","Metall","Bestand und/oder andere Gebäude","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__010__Sanit_rapparate","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Sanitärapparate","Keramik/Metall unbekannt","andere Gebäude","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__011__D_mmplatten","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","Dämmplatten","unbekannt","Bestand und/oder externe Quelle","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__012__alte_Holzpfetten_des_vormaligen_Flachdachs","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","alte Holzpfetten des vormaligen Flachdachs","Holz","Bestand","unbekannt"
"Grubenstrasse_29_Werkhof_29_Zuerich","Grubenstrasse_29_Werkhof_29_Zuerich__013__feste_Innenausbauten","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","feste Innenausbauten","diverse","unbekannt","unbekannt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Hohlkörperdecken","Spannbeton/Fertigbeton","1980er Bürogebäude, Tampere-Zentrum","25 Stück; einzelne Folgequelle nennt 24"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__002__Luftschutzraum_Deckenbereich","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Luftschutzraum-Deckenbereich","Beton/Fertigteil","Neubau","Fläche unbekannt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__003__Fassaden","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Fassaden","neu, dunkle braune Ziegelfliesen laut Skanska","unbekannt","unbekannt"
"Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__004__Fenster_T_ren_TGA_Sanit_r","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","Fenster/Türen/TGA/Sanitär","unbekannt","unbekannt","unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__001__Fassadenbekleidung_Besucherzentrum","Gebäude\Hastings_Pier_Visitor_Centre.md","Fassadenbekleidung Besucherzentrum","geborgene tropische Hartholzbohlen","Brandschaden / alte Pier-Deckflächen","begrenzte Menge; genaue m² unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__002__Bekleidung_Toiletten_Outbuildings_am_Old_Pavilio","Gebäude\Hastings_Pier_Visitor_Centre.md","Bekleidung Toiletten / Outbuildings am Old Pavilion","längere Hartholzstücke","gerettete Pier-Hölzer","unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__003__Deckm_bel","Gebäude\Hastings_Pier_Visitor_Centre.md","Deckmöbel","geborgene Hartholzbohlen","alte Pier-Deckflächen","unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","Gebäude\Hastings_Pier_Visitor_Centre.md","neues Tragwerk Besucherzentrum","Brettsperrholz / CLT","neu","unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__005__Pier_Balustraden_Deck","Gebäude\Hastings_Pier_Visitor_Centre.md","Pier-Balustraden / Deck","Holz/Stahl unbekannt","neues/ersetztes Material und restaurierter Bestand","unbekannt"
"Hastings_Pier_Visitor_Centre","Hastings_Pier_Visitor_Centre__006__viktorianischer_Pavillon","Gebäude\Hastings_Pier_Visitor_Centre.md","viktorianischer Pavillon","Bestand","vor Ort","unbekannt"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__001__Wandelemente","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Wandelemente","Stahlbetonfertigteil / WBS70-Kontext","Leinefelde","28"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__002__Deckenelemente","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Deckenelemente","Stahlbetonfertigteil / WBS70-Kontext","Leinefelde","23"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__003__Treppen","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Treppen","Stahlbetonfertigteil","Leinefelde","7"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__004__Gesamtbauteile","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Gesamtbauteile","Stahlbetonfertigteile","Leinefelde","58 / ca. 190 t"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__005__Fassaden","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Fassaden","unbekannt","unbekannt","unbekannt"
"Haus_HOS_Mehrfamilienhaus_Muehlhausen","Haus_HOS_Mehrfamilienhaus_Muehlhausen__006__Fenster_T_ren_Dach_Gel_nder_Bodenaufbauten_Innen","Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","Fenster/Türen/Dach/Geländer/Bodenaufbauten/Innenwände/TGA/Dämmung/Sanitär/Beleuchtung/feste Einbauten","unbekannt","unbekannt","unbekannt"
"Holbein_Gardens_London","Holbein_Gardens_London__001__Stahltr_ger_st_tzen","Gebäude\Holbein_Gardens_London.md","Stahlträger/-stützen","Stahl","9 t aus Grosvenor-Projekten / 15–16 t aus Cleveland-Steel-Bestand","24–25 t"
"Holbein_Gardens_London","Holbein_Gardens_London__002__Reclaimed_stone_brickwork","Gebäude\Holbein_Gardens_London.md","Reclaimed stone / brickwork","Stein/Ziegel","unbekannt / andere Quellen","unbekannt"
"Holbein_Gardens_London","Holbein_Gardens_London__003__bestehender_Betonrahmen","Gebäude\Holbein_Gardens_London.md","bestehender Betonrahmen","Stahlbeton","Bestandsgebäude vor Ort","90–93 % Bestand erhalten"
"Holbein_Gardens_London","Holbein_Gardens_London__004__bestehende_Fassade","Gebäude\Holbein_Gardens_London.md","bestehende Fassade","unbekannt","Bestandsgebäude","Teil von 93 % Bestandserhalt"
"Holbein_Gardens_London","Holbein_Gardens_London__005__CLT_Decken","Gebäude\Holbein_Gardens_London.md","CLT-Decken","Holz / CLT","neu / Eurban","unbekannt"
"Holbein_Gardens_London","Holbein_Gardens_London__006__Cemfree_concrete","Gebäude\Holbein_Gardens_London.md","Cemfree concrete","Beton/Bindemittel","neu","unbekannt"
"Holbein_Gardens_London","Holbein_Gardens_London__007__TGA","Gebäude\Holbein_Gardens_London.md","TGA","unbekannt","unbekannt","unbekannt"
"Holbein_Gardens_London","Holbein_Gardens_London__008__Gel_nder_Treppen_Fenster_T_ren","Gebäude\Holbein_Gardens_London.md","Geländer/Treppen/Fenster/Türen","unbekannt","unbekannt","unbekannt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__001__1930er_Stahltr_ger_vom_House_of_Fraser","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","1930er Stahlträger vom House of Fraser","Stahl","former House of Fraser / 318 Oxford Street","16 t / 20 t / 40 t / target up to 100 t widersprüchlich"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__002__Stahlst_tzen_aus_unteren_Geschossen_318_Oxford_S","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Stahlstützen aus unteren Geschossen 318 Oxford Street","Stahl","House of Fraser lower floors","unbekannt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__003__Repurposed_steel_von_Cleveland","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Repurposed steel von Cleveland","Stahl","Cleveland Steel & Tubes / oil-gas surplus stock","ca. 7 t laut NSC"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__004__Retained_1990s_concrete_frame_TBC","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Retained 1990s concrete frame TBC","Beton","am Ort vorhanden","große Teile erhalten"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__005__Handrails_and_other_fixtures","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Handrails and other fixtures","unbekannt","original TBC / demolition materials","unbekannt"
"House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__006__Bricks_demolition_materials","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","Bricks / demolition materials","Mauerwerk u. a.","original building / demolition","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__001__Schwarze_MDF_Platten","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Schwarze MDF-Platten","MDF","Boros Foundation Ausstellung im Berghain-Kontext","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__002__Red_MDF_boards","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Red MDF boards","MDF","andere Baustelle","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__003__Ziegel_im_Empfang","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Ziegel im Empfang","Ziegel","andere Baustelle","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__004__Holzlatten","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Holzlatten","Holz-Offcuts","verschiedene Tischlereien","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__005__Filzpaneele","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Filzpaneele","recycelter Filz","unbekannt","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__006__Holzgalerie","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Holzgalerie","Holz","unbekannt","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__007__T_ren_Fenster_Sanit_r","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Türen/Fenster/Sanitär","diverse","Gesamtprojekt CRCLR, Quellen nennen reused doors/windows/sanitary","unbekannt"
"Impact_Hub_Berlin_CRCLR_Fitout","Impact_Hub_Berlin_CRCLR_Fitout__008__M_bel","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","Möbel","diverse","Clearance / reuse","unbekannt"
"Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege__001__Fassadenbekleidung_Holzfassade","Gebäude\Institut_de_Botanique_ULg_Liege.md","Fassadenbekleidung / Holzfassade","Holz","unbekannt","unbekannt"
"Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege__002__Haupttragwerk_Bestand","Gebäude\Institut_de_Botanique_ULg_Liege.md","Haupttragwerk Bestand","unbekannt","Bestand vor Ort","unbekannt"
"Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege__003__Fenster","Gebäude\Institut_de_Botanique_ULg_Liege.md","Fenster","unbekannt","unbekannt","unbekannt"
"Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege__004__T_ren","Gebäude\Institut_de_Botanique_ULg_Liege.md","Türen","unbekannt","unbekannt","unbekannt"
"Institut_de_Botanique_ULg_Liege","Institut_de_Botanique_ULg_Liege__005__TGA","Gebäude\Institut_de_Botanique_ULg_Liege.md","TGA","unbekannt","unbekannt","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__001__Holztr_ger_houten_balken","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Holzträger / houten balken","Holz","RWS-Districtskantoor Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__002__Au_enkozijnen_Fensterrahmen","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Außenkozijnen / Fensterrahmen","Kiefernholz, Stahlrahmen, Isolierglas","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__003__HSB_binnenbladen","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","HSB-binnenbladen","Holzständerbau / Holz","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__004__Vord_cher_luifels","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Vordächer / luifels","Stahl/Holz unbekannt","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__005__horizontale_Stahlroste_Sonnenschutz","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","horizontale Stahlroste / Sonnenschutz","Stahl","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__006__Azob_Shingles","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Azobé-Shingles","Hartholz Azobé","RWS-Fassade; davor Meerpfähle","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__007__Innent_ren","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Innentüren","Holz/Metall unbekannt","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__008__Hang_und_Schlie_werk","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Hang- und Schließwerk","Metall","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__009__Holzfu_b_den_vloerdelen","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Holzfußböden / vloerdelen","Holz","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__010__Stra_enklinker","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Straßenklinker","gebrannter Stein/Beton unbekannt","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__011__Fassadenbekleidung_allgemein","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Fassadenbekleidung allgemein","Holz / unbekannt","RWS Terneuzen","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__012__Beleuchtungsarmaturen","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Beleuchtungsarmaturen","unbekannt","RWS / andere Quellen","30–40% Donorgebäude möglich; genaue Menge unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__013__Elektroinstallationen_Rohre","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Elektroinstallationen / Rohre","unbekannt","andere Sloop-Panden / Bestand","unbekannt"
"Jeugdkliniek_Ithaka_Emergis_Kloetinge","Jeugdkliniek_Ithaka_Emergis_Kloetinge__014__Sanit_r_TGA_feste_Einbauten","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","Sanitär, TGA, feste Einbauten","unbekannt","unbekannt","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Stahlstruktur der Traghalle Hagenholz","Stahl","ehemalige städtische Recyclinghalle Hagenholz","einzelne Hallenbauteile beschriftet, demontiert und eingelagert; genaue Masse unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Betonplatten aus Kerenzerbergtunnel","Beton / Faserbeton nach Stadt-Studie","Sicherheitsstollen Kerenzerbergtunnel","Menge unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__003__Beton_Pilzst_tzen_mit_Deckenelementen","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Beton-Pilzstützen mit Deckenelementen","Beton/Stahlbeton","Schellinghalle Rümlang","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__004__Stahltr_ger_und_Trapezbleche_Dach","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Stahlträger und Trapezbleche Dach","Stahl / Trapezblech","zurückgebaute Recyclinghalle Hagenholz","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__005__Bauteilkatalog_Elemente","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Bauteilkatalog-Elemente","verschiedene","städtische Liegenschaften","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Betriebsgebäude","neue + gebrauchte Elemente","Juch-Areal + Reuse-Bauteile","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__007__Photovoltaik_Gr_ndach","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Photovoltaik / Gründach","neu oder unbekannt","unbekannt","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__008__vertikaler_Pflanzenfilter_B_ume","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","vertikaler Pflanzenfilter / Bäume","Pflanzen","Baumschulware / „Ware“","unbekannt"
"Juch_Areal_Recyclingzentrum_Zuerich","Juch_Areal_Recyclingzentrum_Zuerich__009__Fenster_T_ren_TGA_Sanit_r_Beleuchtung_Dach_Trepp","Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","Fenster, Türen, TGA, Sanitär, Beleuchtung, Dach, Treppen, Geländer","unbekannt","unbekannt","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__001__Stahltr_ger_St_tzen","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Stahlträger / Stützen","Stahl","Teilrückbau Halle ELYS Basel","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__002__Profilbleche_Verbunddecken","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Profilbleche Verbunddecken","Stahlblech","Rückbauquellen","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__003__Externe_Treppe","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Externe Treppe","feuerverzinkter Stahl","Orion office building Zürich","ca. 22 m Höhe"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__004__Fenster","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Fenster","Glas/Metall/Holz unbekannt","Rückbau / Restposten","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__005__Fassadenbleche_Profilbleche","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Fassadenbleche / Profilbleche","Metall","Rückbauquellen","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__006__EPS_D_mmung","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","EPS-Dämmung","EPS","Rückbau/Reststücke","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__007__Holzdachelemente","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Holzdachelemente","Holz","Rückbauquellen","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__008__T_ren","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Türen","Holz/Metall unbekannt","Rückbau","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__009__Dreischichtplatten_Holzplatten","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Dreischichtplatten / Holzplatten","Holzwerkstoff","Bühnenbau laut ArchDaily","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__010__Naturstein_Granitplatten","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Naturstein-/Granitplatten","Stein","Rückbauquellen","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__011__Klinker_Backstein","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Klinker / Backstein","Keramik","Rückbauquellen","unbekannt"
"K118_Kopfbau_Halle_118_Winterthur","K118_Kopfbau_Halle_118_Winterthur__012__Sanit_r_TGA","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","Sanitär / TGA","unbekannt","unbekannt","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__001__Hohlk_rperdecken_hollow_core_slabs","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Hohlkörperdecken / hollow-core slabs","Stahlbeton/Spannbeton","Regjeringsbygg R4 / government quarter Oslo","21 Elemente; ca. 160 m²; 6,5 m Länge, 1,2 m Breite laut Thesis"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__002__Stahltr_ger_st_tzen_reused","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Stahlträger/-stützen reused","Stahl","teils Bestand, teils donor/surplus; genaue Quellen unbekannt","ca. 75 % Stahl reused laut Norden"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__003__Bestehendes_Tragwerk","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Bestehendes Tragwerk","Stahl/Beton unbekannt","Bestandsgebäude KA13","großer Teil erhalten"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__004__Au_enw_nde_Bestand","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Außenwände Bestand","Beton/Backstein laut Norden","Bestandsgebäude KA13","erhalten, mit Ausnahmen"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__005__Fassadenbekleidung_concrete_plates_and_brick","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Fassadenbekleidung / concrete plates and brick","Beton/Backstein","donor oder Bestand, genaue Herkunft unbekannt","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__006__Radiatoren","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Radiatoren","Metall","Bestand und/oder donor buildings","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__007__Sanit_r_Waschbecken_Toiletten","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Sanitär: Waschbecken, Toiletten","Keramik/Metall","donor/Bestand unbekannt","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__008__L_ftungskan_le_ducts_and_pipes","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Lüftungskanäle / ducts and pipes","Metall/Kunststoff","donor/Bestand unbekannt","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__009__Office_fronts_Innenverglasung","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Office fronts / Innenverglasung","Glas/Alu/Stahl unbekannt","donor/Bestand","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__010__T_ren","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Türen","Holz/Metall/Glas unbekannt","donor/Bestand","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__011__Innere_Oberfl_chen_Mosaikfliesen_Terrazzo","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Innere Oberflächen: Mosaikfliesen/Terrazzo","Stein/Keramik","Bestandsgebäude","unbekannt"
"KA13_Kristian_Augusts_gate_13_Oslo","KA13_Kristian_Augusts_gate_13_Oslo__012__Dachbegr_nung_blau_gr_ne_L_sungen","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","Dachbegrünung / blau-grüne Lösungen","Substrat/Pflanzen","neu/vermutlich nicht reused","über 50 norwegisch produzierte Arten laut FutureBuilt"
"Kamikatsu_Zero_Waste_Center_Hotel_WHY","Kamikatsu_Zero_Waste_Center_Hotel_WHY__001__Fassadenfenster","Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","Fassadenfenster","Glas/Holz/Metall, gemischt","von lokalen Einwohnern / alten Gebäuden gespendet","ca. 700 Stück"
